ID,NAMA MK,JENIS,SKS,NILAI
Alumni004,ALGORITMA DAN PEMROGRAMAN 2,U,2,B
Alumni004,ALGORITMA DAN PEMROGRAMAN 3,U,2,B
Alumni004,ALGORITMA DAN PENGOLAHAN PARALEL,W,3,B
Alumni004,ALGORITMA DEEP LEARNING,W,2,C
Alumni004,ARSITEKTUR KOMPUTER,U,2,B
Alumni004,BAHASA INDONESIA,W,2,B
Alumni004,BAHASA INGGRIS 1,W,1,C
Alumni004,BAHASA INGGRIS 2,W,1,B
Alumni004,BAHASA INGGRIS BISNIS 1,W,1,A
Alumni004,BAHASA INGGRIS BISNIS 2,W,1,B
Alumni004,BISNIS INFORMATIKA,W,1,B
Alumni004,DISAIN PEMODELAN GRAFIK,W,1,B
Alumni004,FISIKA DAN KIMIA DASAR 1,W,2,B
Alumni004,FISIKA DAN KIMIA DASAR 2,W,2,B
Alumni004,FORENSIK TEKNOLOGI INFORMASI,W,2,B
Alumni004,GRAFIK KOMPUTER 1,W,2,B
Alumni004,GRAFIK KOMPUTER 2,W,2,B
Alumni004,ILMU BUDAYA DASAR,W,1,B
Alumni004,ILMU SOSIAL DASAR,W,1,A
Alumni004,INFORMATIKA KESEHATAN,P,2,C
Alumni004,INTERAKSI MANUSIA DAN KOMPUTER,U,3,A
Alumni004,JARINGAN KOMPUTER,U,3,B
Alumni004,JARINGAN KOMPUTER LANJUT,P,2,A
Alumni004,KECERDASAN BUATAN,W,2,B
Alumni004,KOMPUTASI MODERN,W,1,B
Alumni004,KONSEP DATA MINING,P,2,B
Alumni004,KONSEP TEKNOLOGI INFORMASI,W,3,B
Alumni004,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,B
Alumni004,MATEMATIKA DASAR 1,W,2,B
Alumni004,MATEMATIKA DASAR 2,U,2,A
Alumni004,MATEMATIKA INFORMATIKA 1,W,2,A
Alumni004,MATEMATIKA INFORMATIKA 2,W,2,B
Alumni004,MATEMATIKA INFORMATIKA 3,W,2,B
Alumni004,MATEMATIKA INFORMATIKA 4,U,2,B
Alumni004,MATEMATIKA LANJUT 1,W,2,B
Alumni004,MATEMATIKA LANJUT 2,W,2,B
Alumni004,ORGANISASI SISTEM KOMPUTER,U,2,B
Alumni004,PEMODELAN DAN SIMULASI,W,2,B
Alumni004,PEMROGRAMAN BERBASIS OBJEK,W,2,B
Alumni004,PEMROGRAMAN JARINGAN,W,2,B
Alumni004,PEMROGRAMAN MULTIMEDIA,P,2,B
Alumni004,PEMROGRAMAN WEB,W,2,B
Alumni004,PENDIDIKAN AGAMA,W,2,B
Alumni004,PENDIDIKAN KEWARGANEGARAAN,W,2,B
Alumni004,PENDIDIKAN PANCASILA,U,2,B
Alumni004,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,W,1,C
Alumni004,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,W,3,B
Alumni004,PENGANTAR WEB SCIENCE,W,1,B
Alumni004,PENGELOLAAN PROYEK PERANGKAT LUNAK,W,3,B
Alumni004,PENGOLAHAN CITRA,W,2,C
Alumni004,PENULISAN ILMIAH / KERJA PRAKTEK,W,2,A
Alumni004,PERANCANGAN DAN ANALISA ALGORITMA,W,3,B
Alumni004,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,W,1,C
Alumni004,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,W,1,B
Alumni004,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,W,1,B
Alumni004,PRAKTIKUM FISIKA DASAR,W,1,B
Alumni004,REKAYASA KOMPUTASIONAL,W,2,B
Alumni004,REKAYASA PERANGKAT LUNAK 1,W,2,B
Alumni004,REKAYASA PERANGKAT LUNAK 2,U,2,B
Alumni004,RISET OPERASIONAL,P,2,B
Alumni004,SISTEM BASIS DATA 1,W,3,B
Alumni004,SISTEM BASIS DATA 2,U,3,B
Alumni004,SISTEM BERKAS,U,2,B
Alumni004,SISTEM INFORMASI,U,2,B
Alumni004,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,W,2,B
Alumni004,SISTEM INFORMASI MANAJEMEN,W,2,B
Alumni004,SISTEM KEAMANAN KOMPUTER,W,2,B
Alumni004,SISTEM MULTIMEDIA,W,2,B
Alumni004,SISTEM OPERASI,U,3,B
Alumni004,SISTEM TERDISTRIBUSI,P,2,A
Alumni004,SKRIPSI / EVALUASI KOMPREHENSIF,W,6,A
Alumni004,STATISTIKA 1,W,2,B
Alumni004,STATISTIKA 2,W,2,B
Alumni004,STRUKTUR DATA,W,2,B
Alumni004,TEKNIK KOMPILASI,W,3,B
Alumni004,TEKNOLOGI GAME,W,1,A
Alumni004,TEORI BAHASA DAN OTOMATA,U,3,B
Alumni005,ALGORITMA DAN PEMROGRAMAN 1,W,2,B
Alumni005,ALGORITMA DAN PEMROGRAMAN 2,U,2,B
Alumni005,ALGORITMA DAN PEMROGRAMAN 3,U,2,B
Alumni005,ALGORITMA DAN PENGOLAHAN PARALEL,W,3,B
Alumni005,ALGORITMA DEEP LEARNING,W,2,A
Alumni005,ARSITEKTUR KOMPUTER,U,2,A
Alumni005,BAHASA INDONESIA,W,2,B
Alumni005,BAHASA INGGRIS 1,W,1,B
Alumni005,BAHASA INGGRIS 2,W,1,A
Alumni005,BAHASA INGGRIS BISNIS 1,W,1,B
Alumni005,BAHASA INGGRIS BISNIS 2,W,1,C
Alumni005,BISNIS INFORMATIKA,W,1,B
Alumni005,DISAIN PEMODELAN GRAFIK,W,1,A
Alumni005,FISIKA DAN KIMIA DASAR 1,W,2,B
Alumni005,FISIKA DAN KIMIA DASAR 2,W,2,A
Alumni005,FORENSIK TEKNOLOGI INFORMASI,W,2,A
Alumni005,GRAFIK KOMPUTER 1,W,2,A
Alumni005,GRAFIK KOMPUTER 2,W,2,C
Alumni005,ILMU BUDAYA DASAR,W,1,B
Alumni005,ILMU SOSIAL DASAR,W,1,A
Alumni005,INFORMATIKA KESEHATAN,P,2,B
Alumni005,INTERAKSI MANUSIA DAN KOMPUTER,U,3,B
Alumni005,JARINGAN KOMPUTER,U,3,A
Alumni005,JARINGAN KOMPUTER LANJUT,P,2,A
Alumni005,KECERDASAN BUATAN,W,2,A
Alumni005,KOMPUTASI MODERN,W,1,A
Alumni005,KONSEP DATA MINING,P,2,B
Alumni005,KONSEP TEKNOLOGI INFORMASI,W,3,A
Alumni005,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,B
Alumni005,MATEMATIKA DASAR 1,W,2,B
Alumni005,MATEMATIKA DASAR 2,U,2,C
Alumni005,MATEMATIKA INFORMATIKA 1,W,2,B
Alumni005,MATEMATIKA INFORMATIKA 2   ,W,2,B
Alumni005,MATEMATIKA INFORMATIKA 3,W,2,B
Alumni005,MATEMATIKA INFORMATIKA 4,U,2,C
Alumni005,MATEMATIKA LANJUT 1,W,2,B
Alumni005,MATEMATIKA LANJUT 2,W,2,B
Alumni005,ORGANISASI SISTEM KOMPUTER,U,2,B
Alumni005,PEMODELAN DAN SIMULASI,W,2,B
Alumni005,PEMROGRAMAN BERBASIS OBJEK,W,2,B
Alumni005,PEMROGRAMAN JARINGAN,W,2,C
Alumni005,PEMROGRAMAN MULTIMEDIA,P,2,B
Alumni005,PEMROGRAMAN WEB,W,2,A
Alumni005,PENDIDIKAN AGAMA,W,2,B
Alumni005,PENDIDIKAN KEWARGANEGARAAN,W,2,B
Alumni005,PENDIDIKAN PANCASILA,U,2,A
Alumni005,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,W,1,A
Alumni005,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,W,3,A
Alumni005,PENGANTAR WEB SCIENCE,W,1,A
Alumni005,PENGELOLAAN PROYEK PERANGKAT LUNAK,W,3,C
Alumni005,PENGOLAHAN CITRA,W,2,B
Alumni005,PENULISAN ILMIAH / KERJA PRAKTEK,W,2,A
Alumni005,PERANCANGAN DAN ANALISA ALGORITMA,U,3,A
Alumni005,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,W,1,A
Alumni005,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,W,1,B
Alumni005,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,W,1,B
Alumni005,PRAKTIKUM FISIKA DASAR,W,1,B
Alumni005,REKAYASA KOMPUTASIONAL,W,2,B
Alumni005,REKAYASA PERANGKAT LUNAK 1,W,2,A
Alumni005,REKAYASA PERANGKAT LUNAK 2,U,2,C
Alumni005,RISET OPERASIONAL,W,2,B
Alumni005,SISTEM BASIS DATA 1,W,3,B
Alumni005,SISTEM BASIS DATA 2,U,3,B
Alumni005,SISTEM BERKAS,U,2,A
Alumni005,SISTEM INFORMASI,U,2,B
Alumni005,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,P,2,A
Alumni005,SISTEM INFORMASI MANAJEMEN,W,2,B
Alumni005,SISTEM KEAMANAN KOMPUTER,W,2,A
Alumni005,SISTEM MULTIMEDIA,W,2,B
Alumni005,SISTEM OPERASI,U,3,B
Alumni005,SISTEM TERDISTRIBUSI,P,2,B
Alumni005,SKRIPSI / EVALUASI KOMPREHENSIF,W,6,B
Alumni005,STATISTIKA 1,W,2,A
Alumni005,STATISTIKA 2,W,2,B
Alumni005,STRUKTUR DATA  ,W,2,A
Alumni005,TEKNIK KOMPILASI,W,3,A
Alumni005,TEKNOLOGI GAME,W,1,A
Alumni005,TEORI BAHASA DAN OTOMATA,U,3,C
Alumni006,ALGORITMA DAN PEMROGRAMAN 1,W,2,B
Alumni006,ALGORITMA DAN PEMROGRAMAN 2,U,2,B
Alumni006,ALGORITMA DAN PEMROGRAMAN 3,U,2,A
Alumni006,ALGORITMA DAN PENGOLAHAN PARALEL,W,3,B
Alumni006,ALGORITMA DEEP LEARNING,W,2,A
Alumni006,ARSITEKTUR KOMPUTER,U,2,B
Alumni006,BAHASA INDONESIA,W,2,B
Alumni006,BAHASA INGGRIS 1,W,1,B
Alumni006,BAHASA INGGRIS 2,W,1,B
Alumni006,BAHASA INGGRIS BISNIS 1,W,1,B
Alumni006,BAHASA INGGRIS BISNIS 2,W,1,B
Alumni006,BISNIS INFORMATIKA,W,1,A
Alumni006,DISAIN PEMODELAN GRAFIK,W,1,A
Alumni006,FISIKA DAN KIMIA DASAR 1,W,2,A
Alumni006,FISIKA DAN KIMIA DASAR 2,W,2,B
Alumni006,FORENSIK TEKNOLOGI INFORMASI,W,2,A
Alumni006,GRAFIK KOMPUTER 1,W,2,A
Alumni006,GRAFIK KOMPUTER 2,W,2,B
Alumni006,ILMU BUDAYA DASAR,W,1,B
Alumni006,ILMU SOSIAL DASAR,W,1,A
Alumni006,INFORMATIKA KESEHATAN,P,2,B
Alumni006,INTERAKSI MANUSIA DAN KOMPUTER,U,3,B
Alumni006,JARINGAN KOMPUTER,U,3,B
Alumni006,JARINGAN KOMPUTER LANJUT,P,2,B
Alumni006,KECERDASAN BUATAN,W,2,A
Alumni006,KOMPUTASI MODERN,W,1,A
Alumni006,KONSEP DATA MINING,P,2,A
Alumni006,KONSEP TEKNOLOGI INFORMASI,W,3,B
Alumni006,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,A
Alumni006,MATEMATIKA DASAR 1,W,2,B
Alumni006,MATEMATIKA DASAR 2,U,2,B
Alumni006,MATEMATIKA INFORMATIKA 1,W,2,A
Alumni006,MATEMATIKA INFORMATIKA 2,W,2,B
Alumni006,MATEMATIKA INFORMATIKA 3,W,2,B
Alumni006,MATEMATIKA INFORMATIKA 4,U,2,B
Alumni006,MATEMATIKA LANJUT 1,W,2,A
Alumni006,MATEMATIKA LANJUT 2,W,2,B
Alumni006,ORGANISASI SISTEM KOMPUTER,U,2,B
Alumni006,PEMODELAN DAN SIMULASI,W,2,B
Alumni006,PEMROGRAMAN BERBASIS OBJEK,W,2,B
Alumni006,PEMROGRAMAN JARINGAN,W,2,B
Alumni006,PEMROGRAMAN MULTIMEDIA,P,2,B
Alumni006,PEMROGRAMAN WEB,W,2,B
Alumni006,PENDIDIKAN AGAMA,W,2,B
Alumni006,PENDIDIKAN KEWARGANEGARAAN,W,2,B
Alumni006,PENDIDIKAN PANCASILA,U,2,B
Alumni006,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,W,1,A
Alumni006,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,W,3,B
Alumni006,PENGANTAR WEB SCIENCE,W,1,A
Alumni006,PENGELOLAAN PROYEK PERANGKAT LUNAK,W,3,A
Alumni006,PENGOLAHAN CITRA,W,2,B
Alumni006,PENULISAN ILMIAH / KERJA PRAKTEK,W,2,A
Alumni006,PERANCANGAN DAN ANALISA ALGORITMA,W,3,B
Alumni006,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,W,1,B
Alumni006,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,W,1,B
Alumni006,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,W,1,B
Alumni006,PRAKTIKUM FISIKA DASAR,W,1,B
Alumni006,REKAYASA KOMPUTASIONAL,W,2,B
Alumni006,REKAYASA PERANGKAT LUNAK 1,W,2,B
